,Id,Target,Tweet
0,2265,0,abis bulutangkis
1,308,1,acara sampe nggak henti nang terimakasih kak greysia dedikasi bulutangkis indonesiaterimakasih semangat terimakasih prestasi terimakasihgreysiapolii
2,25,1,agam prestasi catat greysia polii atlet bulutangkis asi games sea games olimpiade gelar
3,701,0,aja ga ngerti bulutangkis kaya
4,824,1,ajang kompetisi olahraga gengsi atlet sandang disabilitas tanding cabang olahraga para-atletik para-renang bulutangkis tenis meja catur para-angkat berat boccia blind judo goalball tenis kursi roda
5,732,0,ajar waelah gk tuh kalo gk support main bulutangkis indo
6,2268,0,ak lg nonton bulutangkis
7,790,0,akku tonton tanding bulutangkis ya stop deh nontonya notifikasi ok
8,770,0,aku ginting bikin axelsen raja bulutangkis dunia
9,2010,0,alas cari cari djarum rokok sponsor bulutangkis puluh olahraga rokok kontradiksi
10,514,1,alat bulutangkis
11,679,1,alhamdulillah barrokallah semangat atlet bulutangkis indonesia
12,304,1,ambyar kak greys peluk apri latih terimakasih juang prestasi dunia bulutangkis happy retirement greysia polii
13,2302,0,anjir bulutangkis lebaran hayati
14,2460,1,anthony ginting hasil lolos babak main rubber game selamat ony inafo inabminton bulutangkis badmintonindonesia dim
15,2422,0,anthony ginting kunci hasil bungkam kunlavut vitidsarn lengkapcepatberitanya olahraga sport bulutangkis netting badminton
16,978,0,anthony ginting kunci sukses laju semifinal indonesia masters lengkapcepatberitanya olahraga sport bulutangkis netting badminton
17,2394,1,anthony ginting selamat kejut indonesia masters
18,2024,1,anthony sinisuka ginting harap tunggal putra tuan rumah sisa indonesia masters
19,793,1,antony ginting gagal final indonesia master
20,354,0,apresiasi nya ginting udah gak top forma liat umur nya main bulutangkis cepat ubah masuk dunia
21,2317,0,apri fadia menang berkat tangan dingin iwan bule iwan bule kenal bulutangkis indonesia dunia
22,2326,0,apri fadia menang berkat tangan dingin iwan bule iwan bule kenal bulutangkis indonesia dunia ciiiaaattt
23,875,1,apri melanju final lanjut temu raket bulutangkis paket komplit raket badminton tas kock grip
