,Unnamed: 0,Id,Target,Tweet,clean_teks
0,0,2265,0,abis bulutangkis,
1,1,308,1,acara sampe nggak henti nang terimakasih kak greysia dedikasi bulutangkis indonesiaterimakasih semangat terimakasih prestasi terimakasihgreysiapolii,acara nggak henti terimakasih kak greysia dedikasi indonesiaterimakasih semangat terimakasih prestasi terimakasihgreysiapolii
2,2,25,1,agam prestasi catat greysia polii atlet bulutangkis asi games sea games olimpiade gelar,agam prestasi catat greysia atlet asi games sea games olimpiade gelar
3,3,701,0,aja ga ngerti bulutangkis kaya,erti
4,4,824,1,ajang kompetisi olahraga gengsi atlet sandang disabilitas tanding cabang olahraga para-atletik para-renang bulutangkis tenis meja catur para-angkat berat boccia blind judo goalball tenis kursi roda,ajang kompetisi olahraga gengsi atlet sandang disabilitas tanding cabang olahraga paraatletik pararenang tenis meja catur paraangkat berat boccia blind judo goalball tenis kursi roda
5,5,732,0,ajar waelah gk tuh kalo gk support main bulutangkis indo,ajar waelah support main indonesia
6,6,2268,0,ak lg nonton bulutangkis,lg
7,7,790,0,akku tonton tanding bulutangkis ya stop deh nontonya notifikasi ok,akku tonton tanding ya stop deh nontonya notifikasi oke
8,8,770,0,aku ginting bikin axelsen raja bulutangkis dunia,ginting axelsen raja dunia
9,9,2010,0,alas cari cari djarum rokok sponsor bulutangkis puluh olahraga rokok kontradiksi,alas cari cari djarum rokok sponsor puluh olahraga rokok kontradiksi
10,10,514,1,alat bulutangkis,alat
11,11,679,1,alhamdulillah barrokallah semangat atlet bulutangkis indonesia,syukur barrokallah semangat atlet indonesia
12,12,304,1,ambyar kak greys peluk apri latih terimakasih juang prestasi dunia bulutangkis happy retirement greysia polii,hancur kak greys peluk apri latih terimakasih juang prestasi dunia happy retirement greysia
13,13,2302,0,anjir bulutangkis lebaran hayati,anjing lebaran hayati
14,14,2460,1,anthony ginting hasil lolos babak main rubber game selamat ony inafo inabminton bulutangkis badmintonindonesia dim,anthony ginting hasil lolos babak main rubber game selamat ony info badminton badmintonindonesia dim
15,15,2422,0,anthony ginting kunci hasil bungkam kunlavut vitidsarn lengkapcepatberitanya olahraga sport bulutangkis netting badminton,anthony ginting kunci hasil bungkam kunlavut vitidsarn lengkapcepatberitanya olahraga sport netting badminton
16,16,978,0,anthony ginting kunci sukses laju semifinal indonesia masters lengkapcepatberitanya olahraga sport bulutangkis netting badminton,anthony ginting kunci sukses laju semifinal indonesia lengkapcepatberitanya olahraga sport netting badminton
17,17,2394,1,anthony ginting selamat kejut indonesia masters,anthony ginting selamat kejut indonesia
18,18,2024,1,anthony sinisuka ginting harap tunggal putra tuan rumah sisa indonesia masters,anthony sinisuka ginting harap tunggal putra tuan rumah sisa indonesia
19,19,793,1,antony ginting gagal final indonesia master,antony ginting gagal final indonesia master
20,20,354,0,apresiasi nya ginting udah gak top forma liat umur nya main bulutangkis cepat ubah masuk dunia,apresiasi nya ginting top forma lihat umur nya main cepat ubah masuk dunia
